zenith_cut,angle,phi0,gamma,detector,mean_max_efstat,mean_max_efstat_error
0.0,30.0,1e-14,1.5,arca,70.28201042349139,0.0
0.0,30.0,1e-14,1.5625,arca,66.49167001534906,0.0
0.0,30.0,1e-14,1.625,arca,67.17249002533613,0.0
0.0,30.0,1e-14,1.6875,arca,72.80909028027102,0.0
0.0,30.0,1e-14,1.75,arca,70.28201042349139,0.0
0.0,30.0,1e-14,1.8125,arca,70.78517104006848,0.0
0.0,30.0,1e-14,1.875,arca,70.90678532507599,0.0
0.0,30.0,1e-14,1.9375,arca,59.12952001792847,0.0
0.0,30.0,1e-14,2.0,arca,70.28201042349139,0.0
0.0,30.0,1e-14,2.0625,arca,70.28201042349139,0.0
0.0,30.0,1e-14,2.125,arca,70.28201042349139,0.0
0.0,30.0,1e-14,2.1875,arca,63.409893108038645,0.0
0.0,30.0,1e-14,2.25,arca,70.28201042349139,0.0
0.0,30.0,1e-14,2.3125,arca,63.68722394411195,0.0
0.0,30.0,1e-14,2.375,arca,70.28201042349139,0.0
0.0,30.0,1e-14,2.4375,arca,70.28201042349139,0.0
0.0,30.0,1e-14,2.5,arca,70.28201042349139,0.0
0.0,30.0,1e-14,2.5625,arca,70.28201042349139,0.0
0.0,30.0,1e-14,2.625,arca,70.28201042349139,0.0
0.0,30.0,1e-14,2.6875,arca,61.186892732059135,0.0
0.0,30.0,1e-14,2.75,arca,70.28201042349139,0.0
0.0,30.0,1e-14,2.8125,arca,70.28201042349139,0.0
0.0,30.0,1e-14,2.875,arca,66.20164923466027,0.0
0.0,30.0,1e-14,2.9375,arca,70.28201042349139,0.0
0.0,30.0,1e-14,3.0,arca,64.19641316446358,0.0
0.0,30.0,2.1544346900318866e-14,1.5,arca,62.13710187724108,0.0
0.0,30.0,2.1544346900318866e-14,1.5625,arca,60.58928165623179,0.0
0.0,30.0,2.1544346900318866e-14,1.625,arca,61.43503757367306,0.0
0.0,30.0,2.1544346900318866e-14,1.6875,arca,61.236034462876646,0.0
0.0,30.0,2.1544346900318866e-14,1.75,arca,58.96631449906741,0.0
0.0,30.0,2.1544346900318866e-14,1.8125,arca,60.19719126669786,0.0
0.0,30.0,2.1544346900318866e-14,1.875,arca,69.75012348931405,0.0
0.0,30.0,2.1544346900318866e-14,1.9375,arca,64.33391966585634,0.0
0.0,30.0,2.1544346900318866e-14,2.0,arca,69.61828514607636,0.0
