zenith_cut,angle,phi0,gamma,detector,mean_max_efstat,mean_max_efstat_error
0.0,5.0,1e-06,1.5,arca,57.58393974211668,0.0
0.0,5.0,1e-06,1.5,orca,68.70689280278322,0.0
0.0,5.0,1e-06,1.5,combined,61.1219770377005,0.0
0.0,5.0,1e-06,1.5625,arca,54.300306435137905,0.0
0.0,5.0,1e-06,1.5625,orca,68.70689280278322,0.0
0.0,5.0,1e-06,1.5625,combined,59.46354166666667,0.0
0.0,5.0,1e-06,1.625,arca,67.85268542199489,0.0
0.0,5.0,1e-06,1.625,orca,68.70689280278322,0.0
0.0,5.0,1e-06,1.625,combined,66.64507729861676,0.0
0.0,5.0,1e-06,1.6875,arca,54.1725370086779,0.0
0.0,5.0,1e-06,1.6875,orca,68.70689280278322,0.0
0.0,5.0,1e-06,1.6875,combined,66.64507729861676,0.0
0.0,5.0,1e-06,1.75,arca,54.1725370086779,0.0
0.0,5.0,1e-06,1.75,orca,68.70689280278322,0.0
0.0,5.0,1e-06,1.75,combined,66.64507729861676,0.0
0.0,5.0,1e-06,1.8125,arca,54.1725370086779,0.0
0.0,5.0,1e-06,1.8125,orca,68.70689280278322,0.0
0.0,5.0,1e-06,1.8125,combined,66.64507729861676,0.0
0.0,5.0,1e-06,1.875,arca,54.1725370086779,0.0
0.0,5.0,1e-06,1.875,orca,68.70689280278322,0.0
0.0,5.0,1e-06,1.875,combined,66.64507729861676,0.0
0.0,5.0,1e-06,1.9375,arca,54.1725370086779,0.0
0.0,5.0,1e-06,1.9375,orca,68.70689280278322,0.0
0.0,5.0,1e-06,1.9375,combined,66.64507729861676,0.0
0.0,5.0,1e-06,2.0,arca,54.1725370086779,0.0
0.0,5.0,1e-06,2.0,orca,68.70689280278322,0.0
0.0,5.0,1e-06,2.0,combined,66.64507729861676,0.0
0.0,5.0,1e-06,2.0625,arca,54.1725370086779,0.0
0.0,5.0,1e-06,2.0625,orca,68.70689280278322,0.0
0.0,5.0,1e-06,2.0625,combined,66.64507729861676,0.0
0.0,5.0,1e-06,2.125,arca,54.1725370086779,0.0
0.0,5.0,1e-06,2.125,orca,68.70689280278322,0.0
0.0,5.0,1e-06,2.125,combined,66.64507729861676,0.0
0.0,5.0,1e-06,2.1875,arca,54.1725370086779,0.0
0.0,5.0,1e-06,2.1875,orca,68.70689280278322,0.0
0.0,5.0,1e-06,2.1875,combined,66.64507729861676,0.0
0.0,5.0,1e-06,2.25,arca,54.1725370086779,0.0
0.0,5.0,1e-06,2.25,orca,68.70689280278322,0.0
0.0,5.0,1e-06,2.25,combined,66.64507729861676,0.0
0.0,5.0,1e-06,2.3125,arca,54.1725370086779,0.0
0.0,5.0,1e-06,2.3125,orca,68.70689280278322,0.0
0.0,5.0,1e-06,2.3125,combined,66.64507729861676,0.0
0.0,5.0,1e-06,2.375,arca,54.1725370086779,0.0
0.0,5.0,1e-06,2.375,orca,68.70689280278322,0.0
0.0,5.0,1e-06,2.375,combined,66.64507729861676,0.0
0.0,5.0,1e-06,2.4375,arca,54.1725370086779,0.0
0.0,5.0,1e-06,2.4375,orca,68.70689280278322,0.0
0.0,5.0,1e-06,2.4375,combined,66.64507729861676,0.0
0.0,5.0,1e-06,2.5,arca,54.1725370086779,0.0
0.0,5.0,1e-06,2.5,orca,68.70689280278322,0.0
0.0,5.0,1e-06,2.5,combined,66.64507729861676,0.0
0.0,5.0,1e-06,2.5625,arca,54.1725370086779,0.0
0.0,5.0,1e-06,2.5625,orca,68.70689280278322,0.0
