zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
120.0,5.0,1e-14,1.5,arca,150.0,69.13846153846154,0.0
120.0,5.0,1e-14,1.5625,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,1.625,arca,150.0,71.81692573402418,0.0
120.0,5.0,1e-14,1.6875,arca,150.0,54.352941176470594,0.0
120.0,5.0,1e-14,1.75,arca,150.0,72.48180242634317,0.0
120.0,5.0,1e-14,1.8125,arca,150.0,63.11724137931035,0.0
120.0,5.0,1e-14,1.875,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,1.9375,arca,150.0,65.88716623600345,0.0
120.0,5.0,1e-14,2.0,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,2.0625,arca,150.0,53.517810599478715,0.0
120.0,5.0,1e-14,2.125,arca,150.0,61.35536480686694,0.0
120.0,5.0,1e-14,2.1875,arca,150.0,56.17993079584777,0.0
120.0,5.0,1e-14,2.25,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,2.3125,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,2.375,arca,150.0,64.13471502590673,0.0
120.0,5.0,1e-14,2.4375,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,2.5,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,2.5625,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,2.625,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,2.6875,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,2.75,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,2.8125,arca,150.0,72.92227979274611,0.0
120.0,5.0,1e-14,2.875,arca,150.0,71.81692573402418,0.0
120.0,5.0,1e-14,2.9375,arca,150.0,76.18895599654874,0.0
120.0,5.0,1e-14,3.0,arca,150.0,71.81692573402418,0.0
120.0,5.0,2.1544346900318866e-14,1.5,arca,150.0,71.81692573402418,0.0
120.0,5.0,2.1544346900318866e-14,1.5625,arca,150.0,71.81692573402418,0.0
120.0,5.0,2.1544346900318866e-14,1.625,arca,150.0,62.277296360485266,0.0
120.0,5.0,2.1544346900318866e-14,1.6875,arca,150.0,78.62068965517241,0.0
120.0,5.0,2.1544346900318866e-14,1.75,arca,150.0,75.93333333333334,0.0
120.0,5.0,2.1544346900318866e-14,1.8125,arca,150.0,75.41587575496118,0.0
120.0,5.0,2.1544346900318866e-14,1.875,arca,150.0,64.79792746113989,0.0
120.0,5.0,2.1544346900318866e-14,1.9375,arca,150.0,76.18895599654874,0.0
120.0,5.0,2.1544346900318866e-14,2.0,arca,150.0,71.81692573402418,0.0
120.0,5.0,2.1544346900318866e-14,2.0625,arca,150.0,56.736434108527135,0.0
120.0,5.0,2.1544346900318866e-14,2.125,arca,150.0,76.18895599654874,0.0
120.0,5.0,2.1544346900318866e-14,2.1875,arca,150.0,71.27437446074202,0.0
120.0,5.0,2.1544346900318866e-14,2.25,arca,150.0,62.9188255613126,0.0
120.0,5.0,2.1544346900318866e-14,2.3125,arca,150.0,71.81692573402418,0.0
120.0,5.0,2.1544346900318866e-14,2.375,arca,150.0,65.07426597582038,0.0
120.0,5.0,2.1544346900318866e-14,2.4375,arca,150.0,61.40622299049265,0.0
120.0,5.0,2.1544346900318866e-14,2.5,arca,150.0,71.81692573402418,0.0
120.0,5.0,2.1544346900318866e-14,2.5625,arca,150.0,58.39514731369151,0.0
120.0,5.0,2.1544346900318866e-14,2.625,arca,150.0,76.18895599654874,0.0
120.0,5.0,2.1544346900318866e-14,2.6875,arca,150.0,66.07012987012988,0.0
120.0,5.0,2.1544346900318866e-14,2.75,arca,150.0,59.6580310880829,0.0
120.0,5.0,2.1544346900318866e-14,2.8125,arca,150.0,76.18895599654874,0.0
120.0,5.0,2.1544346900318866e-14,2.875,arca,150.0,76.18895599654874,0.0
120.0,5.0,2.1544346900318866e-14,2.9375,arca,150.0,76.18895599654874,0.0
120.0,5.0,2.1544346900318866e-14,3.0,arca,150.0,76.18895599654874,0.0
120.0,5.0,4.6415888336127726e-14,1.5,arca,150.0,66.42758620689655,0.0
120.0,5.0,4.6415888336127726e-14,1.5625,arca,150.0,57.978947368421046,0.0
120.0,5.0,4.6415888336127726e-14,1.625,arca,150.0,67.251954821894,0.0
120.0,5.0,4.6415888336127726e-14,1.6875,arca,150.0,76.18895599654874,0.0
120.0,5.0,4.6415888336127726e-14,1.75,arca,150.0,59.843830888697156,0.0
120.0,5.0,4.6415888336127726e-14,1.8125,arca,150.0,59.544493392070464,0.0
120.0,5.0,4.6415888336127726e-14,1.875,arca,150.0,76.72860847018151,0.0
120.0,5.0,4.6415888336127726e-14,1.9375,arca,150.0,64.24934839270199,0.0
120.0,5.0,4.6415888336127726e-14,2.0,arca,150.0,62.9188255613126,0.0
120.0,5.0,4.6415888336127726e-14,2.0625,arca,150.0,75.45635263612792,0.0
120.0,5.0,4.6415888336127726e-14,2.125,arca,150.0,63.27304347826087,0.0
120.0,5.0,4.6415888336127726e-14,2.1875,arca,150.0,55.9448275862069,0.0
120.0,5.0,4.6415888336127726e-14,2.25,arca,150.0,62.82571182053495,0.0
