zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
150.0,5.0,1e-06,1.5,combined,150.0,,
150.0,5.0,1e-06,1.5625,combined,150.0,,
150.0,5.0,1e-06,1.625,combined,150.0,,
150.0,5.0,1e-06,1.6875,combined,150.0,,
150.0,5.0,1e-06,1.75,combined,150.0,,
150.0,5.0,1e-06,1.8125,combined,150.0,,
150.0,5.0,1e-06,1.875,combined,150.0,,
150.0,5.0,1e-06,1.9375,combined,150.0,,
150.0,5.0,1e-06,2.0,combined,150.0,,
150.0,5.0,1e-06,2.0625,combined,150.0,,
150.0,5.0,1e-06,2.125,combined,150.0,,
150.0,5.0,1e-06,2.1875,combined,150.0,,
150.0,5.0,1e-06,2.25,combined,150.0,,
150.0,5.0,1e-06,2.3125,combined,150.0,,
150.0,5.0,1e-06,2.375,combined,150.0,,
150.0,5.0,1e-06,2.4375,combined,150.0,,
150.0,5.0,1e-06,2.5,combined,150.0,,
150.0,5.0,1e-06,2.5625,combined,150.0,,
150.0,5.0,1e-06,2.625,combined,150.0,,
150.0,5.0,1e-06,2.6875,combined,150.0,,
150.0,5.0,1e-06,2.75,combined,150.0,,
150.0,5.0,1e-06,2.8125,combined,150.0,,
150.0,5.0,1e-06,2.875,combined,150.0,,
150.0,5.0,1e-06,2.9375,combined,150.0,,
150.0,5.0,1e-06,3.0,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,1.5,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,1.5625,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,1.625,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,1.6875,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,1.75,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,1.8125,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,1.875,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,1.9375,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.0,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.0625,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.125,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.1875,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.25,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.3125,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.375,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.4375,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.5,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.5625,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.625,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.6875,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.75,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.8125,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.875,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,2.9375,combined,150.0,,
150.0,5.0,2.8729848333536627e-06,3.0,combined,150.0,,
150.0,5.0,8.254041852680188e-06,1.5,combined,150.0,104.85714285714285,0.0
150.0,5.0,8.254041852680188e-06,1.5625,combined,150.0,,
150.0,5.0,8.254041852680188e-06,1.625,combined,150.0,,
150.0,5.0,8.254041852680188e-06,1.6875,combined,150.0,,
150.0,5.0,8.254041852680188e-06,1.75,combined,150.0,,
150.0,5.0,8.254041852680188e-06,1.8125,combined,150.0,,
150.0,5.0,8.254041852680188e-06,1.875,combined,150.0,,
150.0,5.0,8.254041852680188e-06,1.9375,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.0,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.0625,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.125,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.1875,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.25,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.3125,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.375,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.4375,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.5,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.5625,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.625,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.6875,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.75,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.8125,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.875,combined,150.0,,
150.0,5.0,8.254041852680188e-06,2.9375,combined,150.0,,
150.0,5.0,8.254041852680188e-06,3.0,combined,150.0,,
150.0,5.0,2.371373705661655e-05,1.5,combined,150.0,203.29268292682923,0.0
150.0,5.0,2.371373705661655e-05,1.5625,combined,150.0,78.07692307692308,0.0
150.0,5.0,2.371373705661655e-05,1.625,combined,150.0,,
150.0,5.0,2.371373705661655e-05,1.6875,combined,150.0,,
150.0,5.0,2.371373705661655e-05,1.75,combined,150.0,,
150.0,5.0,2.371373705661655e-05,1.8125,combined,150.0,,
150.0,5.0,2.371373705661655e-05,1.875,combined,150.0,,
150.0,5.0,2.371373705661655e-05,1.9375,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.0,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.0625,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.125,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.1875,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.25,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.3125,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.375,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.4375,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.5,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.5625,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.625,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.6875,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.75,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.8125,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.875,combined,150.0,,
150.0,5.0,2.371373705661655e-05,2.9375,combined,150.0,,
150.0,5.0,2.371373705661655e-05,3.0,combined,150.0,,
150.0,5.0,6.812920690579608e-05,1.5,combined,150.0,378.27819548872174,0.0
150.0,5.0,6.812920690579608e-05,1.5625,combined,150.0,204.00000000000006,0.0
150.0,5.0,6.812920690579608e-05,1.625,combined,150.0,110.66666666666669,0.0
150.0,5.0,6.812920690579608e-05,1.6875,combined,150.0,,
150.0,5.0,6.812920690579608e-05,1.75,combined,150.0,,
150.0,5.0,6.812920690579608e-05,1.8125,combined,150.0,,
150.0,5.0,6.812920690579608e-05,1.875,combined,150.0,,
150.0,5.0,6.812920690579608e-05,1.9375,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.0,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.0625,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.125,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.1875,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.25,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.3125,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.375,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.4375,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.5,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.5625,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.625,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.6875,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.75,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.8125,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.875,combined,150.0,,
150.0,5.0,6.812920690579608e-05,2.9375,combined,150.0,,
150.0,5.0,6.812920690579608e-05,3.0,combined,150.0,,
150.0,5.0,0.00019573417814876596,1.5,combined,150.0,1112.4028169014082,0.0
150.0,5.0,0.00019573417814876596,1.5625,combined,150.0,428.14925373134326,0.0
150.0,5.0,0.00019573417814876596,1.625,combined,150.0,166.1063829787234,0.0
150.0,5.0,0.00019573417814876596,1.6875,combined,150.0,125.33333333333336,0.0
150.0,5.0,0.00019573417814876596,1.75,combined,150.0,100.00000000000001,0.0
150.0,5.0,0.00019573417814876596,1.8125,combined,150.0,,
150.0,5.0,0.00019573417814876596,1.875,combined,150.0,,
150.0,5.0,0.00019573417814876596,1.9375,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.0,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.0625,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.125,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.1875,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.25,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.3125,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.375,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.4375,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.5,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.5625,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.625,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.6875,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.75,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.8125,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.875,combined,150.0,,
150.0,5.0,0.00019573417814876596,2.9375,combined,150.0,,
150.0,5.0,0.00019573417814876596,3.0,combined,150.0,,
150.0,5.0,0.000562341325190349,1.5,combined,150.0,2938.897637795276,0.0
150.0,5.0,0.000562341325190349,1.5625,combined,150.0,1053.3237597911227,0.0
150.0,5.0,0.000562341325190349,1.625,combined,150.0,614.0456852791879,0.0
150.0,5.0,0.000562341325190349,1.6875,combined,150.0,320.9080459770115,0.0
150.0,5.0,0.000562341325190349,1.75,combined,150.0,128.0,0.0
150.0,5.0,0.000562341325190349,1.8125,combined,150.0,85.99999999999997,0.0
150.0,5.0,0.000562341325190349,1.875,combined,150.0,,
150.0,5.0,0.000562341325190349,1.9375,combined,150.0,,
150.0,5.0,0.000562341325190349,2.0,combined,150.0,,
150.0,5.0,0.000562341325190349,2.0625,combined,150.0,,
150.0,5.0,0.000562341325190349,2.125,combined,150.0,,
150.0,5.0,0.000562341325190349,2.1875,combined,150.0,,
150.0,5.0,0.000562341325190349,2.25,combined,150.0,,
150.0,5.0,0.000562341325190349,2.3125,combined,150.0,,
150.0,5.0,0.000562341325190349,2.375,combined,150.0,,
150.0,5.0,0.000562341325190349,2.4375,combined,150.0,,
150.0,5.0,0.000562341325190349,2.5,combined,150.0,,
150.0,5.0,0.000562341325190349,2.5625,combined,150.0,,
150.0,5.0,0.000562341325190349,2.625,combined,150.0,,
150.0,5.0,0.000562341325190349,2.6875,combined,150.0,,
150.0,5.0,0.000562341325190349,2.75,combined,150.0,,
150.0,5.0,0.000562341325190349,2.8125,combined,150.0,,
150.0,5.0,0.000562341325190349,2.875,combined,150.0,,
150.0,5.0,0.000562341325190349,2.9375,combined,150.0,,
150.0,5.0,0.000562341325190349,3.0,combined,150.0,,
150.0,5.0,0.0016155980984398728,1.5,combined,150.0,7824.114613180514,0.0
150.0,5.0,0.0016155980984398728,1.5625,combined,150.0,3114.2758620689656,0.0
150.0,5.0,0.0016155980984398728,1.625,combined,150.0,1360.6412371134022,0.0
150.0,5.0,0.0016155980984398728,1.6875,combined,150.0,589.0682926829269,0.0
150.0,5.0,0.0016155980984398728,1.75,combined,150.0,263.8172043010753,0.0
150.0,5.0,0.0016155980984398728,1.8125,combined,150.0,182.1739130434783,0.0
150.0,5.0,0.0016155980984398728,1.875,combined,150.0,103.99999999999997,0.0
150.0,5.0,0.0016155980984398728,1.9375,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.0,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.0625,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.125,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.1875,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.25,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.3125,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.375,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.4375,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.5,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.5625,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.625,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.6875,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.75,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.8125,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.875,combined,150.0,,
150.0,5.0,0.0016155980984398728,2.9375,combined,150.0,,
150.0,5.0,0.0016155980984398728,3.0,combined,150.0,,
150.0,5.0,0.004641588833612777,1.5,combined,150.0,22200.46533904714,0.0
150.0,5.0,0.004641588833612777,1.5625,combined,150.0,9394.568146049733,0.0
150.0,5.0,0.004641588833612777,1.625,combined,150.0,4045.0661394680083,0.0
150.0,5.0,0.004641588833612777,1.6875,combined,150.0,1653.9810017271159,0.0
150.0,5.0,0.004641588833612777,1.75,combined,150.0,850.517985611511,0.0
150.0,5.0,0.004641588833612777,1.8125,combined,150.0,406.5,0.0
150.0,5.0,0.004641588833612777,1.875,combined,150.0,192.82456140350877,0.0
150.0,5.0,0.004641588833612777,1.9375,combined,150.0,145.34782608695653,0.0
150.0,5.0,0.004641588833612777,2.0,combined,150.0,114.09090909090908,0.0
150.0,5.0,0.004641588833612777,2.0625,combined,150.0,,
150.0,5.0,0.004641588833612777,2.125,combined,150.0,,
150.0,5.0,0.004641588833612777,2.1875,combined,150.0,,
150.0,5.0,0.004641588833612777,2.25,combined,150.0,,
150.0,5.0,0.004641588833612777,2.3125,combined,150.0,,
150.0,5.0,0.004641588833612777,2.375,combined,150.0,,
150.0,5.0,0.004641588833612777,2.4375,combined,150.0,,
150.0,5.0,0.004641588833612777,2.5,combined,150.0,,
150.0,5.0,0.004641588833612777,2.5625,combined,150.0,,
150.0,5.0,0.004641588833612777,2.625,combined,150.0,,
150.0,5.0,0.004641588833612777,2.6875,combined,150.0,,
150.0,5.0,0.004641588833612777,2.75,combined,150.0,,
150.0,5.0,0.004641588833612777,2.8125,combined,150.0,,
150.0,5.0,0.004641588833612777,2.875,combined,150.0,,
150.0,5.0,0.004641588833612777,2.9375,combined,150.0,,
150.0,5.0,0.004641588833612777,3.0,combined,150.0,,
150.0,5.0,0.013335214321633239,1.5,combined,150.0,63371.585322801286,0.0
150.0,5.0,0.013335214321633239,1.5625,combined,150.0,25893.583369424,0.0
150.0,5.0,0.013335214321633239,1.625,combined,150.0,10946.974146845914,0.0
150.0,5.0,0.013335214321633239,1.6875,combined,150.0,4642.053527980535,0.0
150.0,5.0,0.013335214321633239,1.75,combined,150.0,2113.3621621621623,0.0
150.0,5.0,0.013335214321633239,1.8125,combined,150.0,979.7550432276656,0.0
150.0,5.0,0.013335214321633239,1.875,combined,150.0,414.4799999999999,0.0
150.0,5.0,0.013335214321633239,1.9375,combined,150.0,200.1935483870968,0.0
150.0,5.0,0.013335214321633239,2.0,combined,150.0,129.92682926829266,0.0
150.0,5.0,0.013335214321633239,2.0625,combined,150.0,102.69230769230772,0.0
150.0,5.0,0.013335214321633239,2.125,combined,150.0,,
150.0,5.0,0.013335214321633239,2.1875,combined,150.0,,
150.0,5.0,0.013335214321633239,2.25,combined,150.0,,
150.0,5.0,0.013335214321633239,2.3125,combined,150.0,,
150.0,5.0,0.013335214321633239,2.375,combined,150.0,,
150.0,5.0,0.013335214321633239,2.4375,combined,150.0,,
150.0,5.0,0.013335214321633239,2.5,combined,150.0,,
150.0,5.0,0.013335214321633239,2.5625,combined,150.0,,
150.0,5.0,0.013335214321633239,2.625,combined,150.0,,
150.0,5.0,0.013335214321633239,2.6875,combined,150.0,,
150.0,5.0,0.013335214321633239,2.75,combined,150.0,,
150.0,5.0,0.013335214321633239,2.8125,combined,150.0,,
150.0,5.0,0.013335214321633239,2.875,combined,150.0,,
150.0,5.0,0.013335214321633239,2.9375,combined,150.0,,
150.0,5.0,0.013335214321633239,3.0,combined,150.0,,
150.0,5.0,0.03831186849557285,1.5,combined,150.0,,
150.0,5.0,0.03831186849557285,1.5625,combined,150.0,74473.59603549179,0.0
150.0,5.0,0.03831186849557285,1.625,combined,150.0,31216.641442907516,0.0
150.0,5.0,0.03831186849557285,1.6875,combined,150.0,13362.98403696702,0.0
