zenith_cut,angle,phi0,gamma,detector,mean_max_efstat,mean_max_efstat_error
5.0,30.0,1e-14,1.5,arca,66.79296285216397,0.0
5.0,30.0,1e-14,1.5625,arca,66.79296285216397,0.0
5.0,30.0,1e-14,1.625,arca,66.79296285216397,0.0
5.0,30.0,1e-14,1.6875,arca,69.3514592122808,0.0
5.0,30.0,1e-14,1.75,arca,67.93967689042381,0.0
5.0,30.0,1e-14,1.8125,arca,66.79296285216397,0.0
5.0,30.0,1e-14,1.875,arca,66.79296285216397,0.0
5.0,30.0,1e-14,1.9375,arca,62.19484186952927,0.0
5.0,30.0,1e-14,2.0,arca,60.58623992100851,0.0
5.0,30.0,1e-14,2.0625,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.125,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.1875,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.25,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.3125,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.375,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.4375,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.5,arca,65.10090707465105,0.0
5.0,30.0,1e-14,2.5625,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.625,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.6875,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.75,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.8125,arca,66.79296285216397,0.0
5.0,30.0,1e-14,2.875,arca,67.47978175971852,0.0
5.0,30.0,1e-14,2.9375,arca,66.79296285216397,0.0
5.0,30.0,1e-14,3.0,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,1.5,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,1.5625,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,1.625,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,1.6875,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,1.75,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,1.8125,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,1.875,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,1.9375,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,2.0,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,2.0625,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,2.125,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,2.1875,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,2.25,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,2.3125,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,2.375,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318866e-14,2.4375,arca,66.79296285216397,0.0
