zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
90.0,30.0,8.1633e-09,2,arca,10,73.08690948431301,0.0
90.0,30.0,8.1633e-09,2,arca,20,227.8998429593439,0.0
90.0,30.0,8.1633e-09,2,arca,30,670.1144312013878,0.0
90.0,30.0,8.1633e-09,2,arca,40,1485.6626657475367,0.0
90.0,30.0,8.1633e-09,2,arca,50,3006.3507630723043,0.0
90.0,30.0,8.1633e-09,2,arca,60,5235.253685519272,0.0
90.0,30.0,8.1633e-09,2,arca,70,8374.775932196171,0.0
90.0,30.0,8.1633e-09,2,arca,80,12816.945678193935,0.0
90.0,30.0,8.1633e-09,2,arca,90,17695.203932475262,0.0
90.0,30.0,8.1633e-09,2,arca,100,23954.50543191195,0.0
90.0,30.0,8.1633e-09,2,arca,110,31391.73589873418,0.0
90.0,30.0,8.1633e-09,2,arca,120,40165.712877748025,0.0
90.0,30.0,8.1633e-09,2,arca,130,48410.82732264619,0.0
90.0,30.0,8.1633e-09,2,arca,140,61128.016078335466,0.0
90.0,30.0,8.1633e-09,2,arca,150,72467.76667461381,0.0
