zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
90.0,30.0,1e-09,2,arca,10,45.080916030534354,0.0
90.0,30.0,1e-09,2,arca,20,52.70211565585332,0.0
90.0,30.0,1e-09,2,arca,30,73.11674077785432,0.0
90.0,30.0,1e-09,2,arca,40,60.76835298592621,0.0
90.0,30.0,1e-09,2,arca,50,86.65661128550647,0.0
90.0,30.0,1e-09,2,arca,60,100.25800291309271,0.0
90.0,30.0,1e-09,2,arca,70,155.70012811387898,0.0
90.0,30.0,1e-09,2,arca,80,236.06312343342364,0.0
90.0,30.0,1e-09,2,arca,90,332.56822274553264,0.0
90.0,30.0,1e-09,2,arca,100,492.6644264292015,0.0
90.0,30.0,1e-09,2,arca,110,643.9811576521622,0.0
90.0,30.0,1e-09,2,arca,120,847.334548271794,0.0
90.0,30.0,1e-09,2,arca,130,1085.8044139537892,0.0
90.0,30.0,1e-09,2,arca,140,1377.5184298707518,0.0
90.0,30.0,1e-09,2,arca,150,1694.4866541145198,0.0
