zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
90.0,30.0,1e-09,2,arca,10,60.31178707224334,0.0
90.0,30.0,1e-09,2,arca,20,97.00593328086214,0.0
90.0,30.0,1e-09,2,arca,30,263.07682140425356,0.0
90.0,30.0,1e-09,2,arca,40,476.2582769562353,0.0
90.0,30.0,1e-09,2,arca,50,1067.0143357146283,0.0
90.0,30.0,1e-09,2,arca,60,1853.4790016321003,0.0
90.0,30.0,1e-09,2,arca,70,2995.689427236546,0.0
90.0,30.0,1e-09,2,arca,80,4668.5941303676245,0.0
90.0,30.0,1e-09,2,arca,90,6012.018670214979,0.0
90.0,30.0,1e-09,2,arca,100,8988.008016032065,0.0
90.0,30.0,1e-09,2,arca,110,12279.077971782503,0.0
90.0,30.0,1e-09,2,arca,120,14923.031516254447,0.0
90.0,30.0,1e-09,2,arca,130,19194.915071647185,0.0
90.0,30.0,1e-09,2,arca,140,23274.09638418763,0.0
90.0,30.0,1e-09,2,arca,150,28884.862574964907,0.0
