zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
90.0,30.0,1e-10,2,arca,10,52.79369696969696,0.0
90.0,30.0,1e-10,2,arca,20,52.24869435463815,0.0
90.0,30.0,1e-10,2,arca,30,56.27937833257553,0.0
90.0,30.0,1e-10,2,arca,40,58.83319202386561,0.0
90.0,30.0,1e-10,2,arca,50,65.40933480526814,0.0
90.0,30.0,1e-10,2,arca,60,66.84093724867955,0.0
90.0,30.0,1e-10,2,arca,70,64.59808301829153,0.0
90.0,30.0,1e-10,2,arca,80,100.08998125390544,0.0
90.0,30.0,1e-10,2,arca,90,104.62802749032309,0.0
90.0,30.0,1e-10,2,arca,100,134.3350333692769,0.0
90.0,30.0,1e-10,2,arca,110,171.92862385076256,0.0
90.0,30.0,1e-10,2,arca,120,213.2313713978179,0.0
90.0,30.0,1e-10,2,arca,130,250.63181191987172,0.0
90.0,30.0,1e-10,2,arca,140,342.33328442366945,0.0
90.0,30.0,1e-10,2,arca,150,331.31429490867606,0.0
